Key,KO,EN,JA
achievements.land_fire.description,제 2구역: 화염의 땅을 격파했습니다.,"Sector 2: Defeated the Firelands.",第2区域：火炎の地を撃破しました。
achievements.land_ice.displayName,얼음 나라 정복,Conquer Ice Kingdom,氷の国征服
achievements.land_ice.description,제 2구역: 얼음 나라를 격파했습니다.,"Sector 2: Defeated the Ice Kingdom.",第2区域：氷の国を撃破しました。
achievements.land_undead.displayName,버림받은 도시 정복,Conquer Forsaken City,見捨てられた都市征服
achievements.land_undead.description,제 3구역: 언데드 도시를 격파했습니다.,"Sector 3: Defeated the Undead City.",第3区域：アンデッド都市を撃破しました。
achievements.land_poison.displayName,맹독 늪지대 정복,Conquer Venomous Swamp,猛毒の湿地帯征服
achievements.land_poison.description,제 3구역: 맹독 늪지대를 격파했습니다.,"Sector 3: Defeated the Venomous Swamp.",第3区域：猛毒の湿地帯を撃破しました。
achievements.land_merc.displayName,용병 주둔지 정복,Conquer Mercenary Camp,傭兵駐屯地征服
achievements.land_merc.description,제 3구역: 용병 주둔지를 격파했습니다.,"Sector 3: Defeated the Mercenary Camp.",第3区域：傭兵駐屯地を撃破しました。
achievements.land_ele.displayName,정령의 안식처 정복,Conquer Elemental Haven,精霊の安息所征服
achievements.land_ele.description,제 4구역: 정령의 안식처를 격파했습니다.,"Sector 4: Defeated the Elemental Haven.",第4区域：精霊の安息所を撃破しました。
achievements.land_sea.displayName,심해의 신전 정복,Conquer Deep Sea Temple,深海の神殿征服
achievements.land_sea.description,제 4구역: 심해의 신전을 격파했습니다.,"Sector 4: Defeated the Deep Sea Temple.",第4区域：深海の神殿を撃破しました。
achievements.land_sky.displayName,천공의 성채 정복,Conquer Sky Fortress,天空の城塞征服
achievements.land_sky.description,제 4구역: 천공의 성채를 격파했습니다.,"Sector 4: Defeated the Sky Fortress.",第4区域：天空の城塞を撃破しました。
achievements.land_demon.displayName,악마의 균열 정복,Conquer Demonic Rift,悪魔の亀裂征服
achievements.land_demon.description,제 5구역: 악마의 균열을 격파했습니다.,"Sector 5: Defeated the Demonic Rift.",第5区域：悪魔の亀裂を撃破しました。
achievements.land_dragon.displayName,용의 탑 정복,Conquer Dragon Tower,竜の塔征服
achievements.land_dragon.description,제 5구역: 용의 탑을 격파했습니다.,"Sector 5: Defeated the Dragon Tower.",第5区域：竜の塔を撃破しました。

achievements.sector_1_master.displayName,야성과 명예 정복자,Wilderness & Honor Conqueror,野性と名誉の征服者
achievements.sector_1_master.description,제 1구역의 모든 랜드(고블린, 오크, 타우렌)를 クリア하세요.,"Clear all lands in Sector 1 (Goblin, Orc, Tauren).",第1区域のすべてのランド（ゴブリン、オーク、タウレン）をクリアしてください。
achievements.sector_2_master.displayName,마력의 지배자,Master of Magic,魔力の支配者
achievements.sector_2_master.description,제 2구역의 모든 랜드(다크엘프, 화염, 氷)를 クリア하세요.,"Clear all lands in Sector 2 (Dark Elf, Fire, Ice).",第2区域のすべてのランド（ダークエルフ、火炎、氷）をクリアしてください。
achievements.sector_3_master.displayName,죽음을 넘은 자,Beyond Death,死を超えた者
achievements.sector_3_master.description,제 3구역의 모든 랜드(언데드, 맹독, 傭兵)를 クリア하세요.,"Clear all lands in Sector 3 (Undead, Poison, Mercenary).",第3区域のすべてのランド（アンデッド、猛毒、傭兵）をクリアしてください。
achievements.sector_4_master.displayName,원소의 대가,Master of Elements,元素の大家
achievements.sector_4_master.description,제 4구역의 모든 랜드(정령, 심해, 천공)를 クリア하세요.,"Clear all lands in Sector 4 (Elemental, Sea, Sky).",第4区域のすべてのランド（精霊、深海、天空）をクリアしてください。
achievements.sector_5_master.displayName,신화의 정복자,Mythic Conqueror,神話の征服者
achievements.sector_5_master.description,제 5구역의 모든 랜드(악마, 드래곤)를 클리어하세요.,"Clear all lands in Sector 5 (Demon, Dragon).",第5区域のすべてのランド（悪魔、ドラゴン）をクリアしてください。
achievements.elite_master.displayName,정예 난이도 정복자,Elite Difficulty Conqueror,精鋭難易度征服者
achievements.elite_master.description,모든 랜드의 정예(Elite) 난이도를 정복하세요.,Conquer the Elite difficulty of all lands.,すべてのランドの精鋭（Elite）難易度を制覇してください。
achievements.role_5_tank.displayName,철벽의 파티,Ironclad Party,鉄壁のパーティ
achievements.role_5_tank.description,탱커 5명으로 어려움 난이도 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard difficulty with 5 Tanks.,タンク5人でハード難易度のウェーブ30をクリアしてください。
achievements.role_5_melee.displayName,칼날의 집결,Gathering of Blades,刃の集結
achievements.role_5_melee.description,근딜 5명으로 어려움 난이도 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard difficulty with 5 Melee DPS.,近接アタッカー5人でハード難易度のウェーブ30をクリアしてください。
achievements.role_5_ranged.displayName,원거리 지배,Ranged Dominance,遠距離支配
achievements.role_5_ranged.description,원딜 5명으로 어려움 난이도 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard difficulty with 5 Ranged DPS.,遠距離アタッカー5人でハード難易度のウェーブ30をクリアしてください。
achievements.role_5_healer.displayName,완전 치유 파티,Perfect Healing Party,完全治癒パーティ
achievements.role_5_healer.description,힐러 5명으로 어려움 난이도 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard difficulty with 5 Healers.,ヒーラー5人でハード難易度のウェーブ30をクリアしてください。
achievements.role_3_cc.displayName,봉인의 파티,Seal Party,封印のパーティ
achievements.role_3_cc.description,CC 3명 이상으로 어려움 난이도 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard difficulty with 3 or more CC heroes.,CC3人以上でハード難易度のウェーブ30をクリアしてください。
achievements.role_all_5.displayName,완벽한 편성,Perfect Composition,完璧な編成
achievements.role_all_5.description,탱/근딜/원딜/힐러/CC 모두 1명씩 포함하여 어려움 웨이브 30을 클리어하세요.,"Clear Wave 30 on Hard with 1 each of Tank, Melee, Ranged, Healer, and CC.",タンク/近接/遠距離/ヒーラー/CCを各1人ずつ含めてハードウェーブ30をクリアしてください。
achievements.elem_shadow_5.displayName,어둠의 군단,Legion of Darkness,闇の軍団
achievements.elem_shadow_5.description,암흑 속성 영웅 5명 이상으로 어려움 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard difficulty with 5 or more Shadow element heroes.,暗黒属性の英雄5人以上でハードウェーブ30をクリアしてください。
achievements.elem_holy_4.displayName,신성한 파티,Holy Party,聖なるパーティ
achievements.elem_holy_4.description,신성 속성 영웅 4명 이상으로 어려움 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard difficulty with 4 or more Holy element heroes.,神聖属性の英雄4人以上でハードウェーブ30をクリアしてください。
achievements.elem_fire_4.displayName,화염의 군단,Legion of Fire,火炎の軍団
achievements.elem_fire_4.description,화염 속성 영웅 4명 이상으로 어려움 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard difficulty with 4 or more Fire element heroes.,火炎属性の英雄4人以上でハードウェーブ30をクリアしてください。
achievements.elem_nature_4.displayName,자연의 수호대,Guardians of Nature,自然の守護隊
achievements.elem_nature_4.description,자연 속성 영웅 4명 이상으로 어려움 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard difficulty with 4 or more Nature element heroes.,自然属性の英雄4人以上でハードウェーブ30をクリアしてください。
achievements.elem_frost_3.displayName,얼음의 파티,Ice Party,氷のパーティ
achievements.elem_frost_3.description,서리+냉기 속성 합산 3명 이상으로 어려움 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard with 3 or more total Frost + Cold element heroes.,氷結＋冷気属性の合計3人以上でハードウェーブ30をクリアしてください。
achievements.elem_dragon.displayName,용의 축복,Dragon's Blessing,竜の祝福
achievements.elem_dragon.description,용 속성 영웅 1명 이상을 포함하여 어려움 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard difficulty including 1 or more Dragon element heroes.,竜属性の英雄1人以上を含めてハードウェーブ30をクリアしてください。
achievements.elem_thunder_2.displayName,천둥의 파티,Thunder Party,雷のパーティ
achievements.elem_thunder_2.description,번개 속성 영웅 2명 이상으로 어려움 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard difficulty with 2 or more Thunder element heroes.,雷属性の英雄2人以上でハードウェーブ30をクリアしてください。
achievements.elem_wind_2.displayName,폭풍의 파티,Storm Party,嵐のパーティ
achievements.elem_wind_2.description,바람 속성 영웅 2명 이상으로 어려움 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard difficulty with 2 or more Wind element heroes.,風属性の英雄2人以上でハードウェーブ30をクリアしてください。
achievements.elem_poison_3.displayName,역병의 파티,Plague Party,疫病のパーティ
achievements.elem_poison_3.description,독 속성 영웅 3명 이상으로 어려움 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard difficulty with 3 or more Poison element heroes.,毒属性の英雄3人以上でハードウェーブ30をクリアしてください。
achievements.race_undead_5.displayName,죽음의 군단 지휘관,Undead Legion Commander,死の軍団指揮官
achievements.race_undead_5.description,언데드 영웅 5명으로 어려움 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard difficulty with 5 Undead heroes.,アンデッドの英雄5人でハードウェーブ30をクリアしてください。
achievements.race_tauren_4.displayName,대지의 어머니,Earth Mother,大地の母
achievements.race_tauren_4.description,타우렌 영웅 4명으로 어려움 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard difficulty with 4 Tauren heroes.,タウレンの英雄4人でハードウェーブ30をクリアしてください。
achievements.race_orc_4.displayName,오크의 메아리,Echo of Orcs,オークの響き
achievements.race_orc_4.description,오크 영웅 4명으로 어려움 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard difficulty with 4 Orc heroes.,オークの英雄4人でハードウェーブ30をクリアしてください。
achievements.race_bloodelf_3.displayName,선혈의 집결,Gathering of Blood,鮮血の集結
achievements.race_bloodelf_3.description,블러드엘프 영웅 3명으로 어려움 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard difficulty with 3 Blood Elf heroes.,ブラッドエルフの英雄3人でハードウェーブ30をクリアしてください。
achievements.race_orc_3.displayName,오크 부족의 통일,Unification of Orc Tribes,オーク部族の統一
achievements.race_orc_3.description,오크 영웅 3명으로 어려움 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard difficulty with 3 Orc heroes.,オークの英雄3人でハードウェーブ30をクリアしてください。
achievements.race_bloodelf_5.displayName,마력의 정점,Apex of Magic,魔力の頂点
achievements.race_bloodelf_5.description,블러드엘프 영웅 5명으로 어려움 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard difficulty with 5 Blood Elf heroes.,ブラッドエルフの英雄5人でハードウェーブ30をクリアしてください。
achievements.race_goblin_4.displayName,고블린 황제군,Goblin Emperor's Army,ゴブリン皇帝軍
achievements.race_goblin_4.description,고블린 종족 영웅 4명 이상으로 어려움 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard difficulty with 4 or more Goblin heroes.,ゴブリン種族の英雄4人以上でハードウェーブ30をクリアしてください。
achievements.race_human_4.displayName,왕국의 기사단,Kingdom Knights,王国の騎士団
achievements.race_human_4.description,인간 종족 영웅 4명 이상으로 어려움 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard difficulty with 4 or more Human heroes.,人間種族の英雄4人以上でハードウェーブ30をクリアしてください。
achievements.race_troll_3.displayName,트롤 주술 의식,Troll Shamanic Ritual,トロールの呪術儀式
achievements.race_troll_3.description,트롤/잔달라 트롤 합산 3명 이상으로 어려움 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard with 3 or more total Troll + Zandalari Troll heroes.,トロール/ザンダラ・トロール合計3人以上でハードウェーブ30をクリアしてください。
achievements.race_pandaren_3.displayName,판다렌의 축복,Pandaren Blessing,パンダレンの祝福
achievements.race_pandaren_3.description,판다렌 종족 영웅 3명 이상으로 어려움 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard difficulty with 3 or more Pandaren heroes.,パンダレン種族の英雄3人以上でハードウェーブ30をクリアしてください。
achievements.race_dracthyr_2.displayName,드렉티르 각성,Dracthyr Awakening,ドラクティールの覚醒
achievements.race_dracthyr_2.description,드렉티르 종족 영웅 2명 이상으로 어려움 웨이브 30을 클리어하세요.,Clear Wave 30 on Hard difficulty with 2 or more Dracthyr heroes.,ドラクティール種族の英雄2人以上でハードウェーブ30をクリアしてください。
achievements.race_elf_4.displayName,엘프의 각성,Elven Awakening,エルフの覚醒
achievements.race_elf_4.description,엘프 계열(블러드엘프/공허엘프/나이트본/밤엘프) 합산 4명 이상으로 어려움 웨이브 30을 클리어하세요.,"Clear Wave 30 on Hard with 4 or more total Elven (Blood/Void/Nightborne/Night) heroes.",エルフ系（ブラッド/ヴォイド/ナイトボーン/ナイト）合計4人以上でハードウェーブ30をクリアしてください。
monsterCategories.beast,"야수 계열",Beast,野獣
monsterCategories.boss,"보스",Boss,ボス
monsterCategories.dark,"암흑/공허 계열",Dark/Void,暗黒/虚空
monsterCategories.elemental,"정령 계열",Elemental,精霊
monsterCategories.giant,"언데드 거인 계열",Undead Giant,アンデッド巨人
monsterCategories.goblin,"고블린 계열",Goblin,ゴブリン
monsterCategories.golem,"골렘 계열",Golem,ゴーレム
monsterCategories.orc,"오크/트롤 계열",Orc/Troll,オーク/トロール
monsterCategories.skeleton,"해골/언데드 계열",Skeleton/Undead,スケルトン/アンデッド
monsters.abomination.description,"수백 개의 시체 조각이 뒤엉킨 거대한 혐오 존재. HP 1500, 역병 냄새가 주변을 오염시킨다.","A massive abomination made of hundreds of tangled corpse pieces. HP 1500, the smell of plague pollutes the surroundings.","数百の死体の破片が絡み合った巨大な嫌悪の存在。HP1500、疫病の匂いが周囲を汚染する。"
monsters.abomination.displayName,"누더기 골렘",Abomination,アボミネーション
monsters.abomination.tip,"체력 1500에 방어력 5. 강한 한 방 딜러와 힐러를 함께 운용해야 한다. 혼자 두면 타워까지 뚫는다.","HP 1500, Defense 5. Must use a strong burst damage dealer and a healer together. If left alone, it will breach the tower.","体力1500、防御力5。強力な単発アタッカーとヒーラーを一緒に運用しなければならない。放置するとタワーまで突破される。"
monsters.abyss_horror.description,"현실의 경계를 찢고 나온 공허의 현현. 체력 700에 무자비한 공격으로 방어선을 붕괴시킨다.","A manifestation of the void that tore through the boundaries of reality. HP 700, collapses the defense line with ruthless attacks.","現実の境界を引き裂いて現れた虚空の顕現。体力700、無慈悲な攻撃で防衛線を崩壊させる。"
monsters.abyss_horror.displayName,"심연의 공포",Abyss Horror,深淵の恐怖
monsters.abyss_horror.tip,"체력 700, 방어력 25의 최고급 근접 적. 탱커 2명 + 힐러 지원 없이는 무너진다. 보스 웨이브 전 만반의 준비를.","A top-tier melee enemy with 700 HP and 25 Defense. Without 2 tanks + healer support, you will fall. Prepare fully before the boss wave.","体力700、防御力25の最高級近接敵。タンク2人＋ヒーラーの支援がなければ崩壊する。ボスウェーブの前に万全の準備を。"
monsters.bone_sniper.description,"저격을 특기로 하던 해골. 놀라운 사거리로 힐러와 원딜을 우선 노린다.","A skeleton specializing in sniping. Targets healers and ranged DPS first with amazing range.","狙撃を特技としていた骸骨。驚異的な射程でヒーラーと遠距離アタッカーを優先して狙う。"
monsters.bone_sniper.displayName,"뼈 저격수",Bone Sniper,骨の狙撃手
monsters.bone_sniper.tip,"사거리가 매우 길다. 힐러를 먼저 조준하니 방어선 뒤에 힐러를 숨기거나 빠르게 처치하라.","Very long range. Aims at healers first, so hide healers behind the defense line or eliminate it quickly.","射程が非常に長い。ヒーラーを先に狙うので、防衛線の後ろにヒーラーを隠すか、素早く倒せ。"
monsters.cave_spider.description,"어두운 동굴에서 기어 나온 거대 거미. 속도 4.5로 방어선을 순식간에 뚫는다.","A giant spider crawling out of a dark cave. Breaches the defense line in an instant with a speed of 4.5.","暗い洞窟から這い出てきた巨大なクモ。速度4.5で防衛線を瞬く間に突破する。"
monsters.cave_spider.displayName,"동굴 거미",Cave Spider,洞窟クモ
monsters.cave_spider.tip,"매우 빠른 이동 속도. CC 스킬로 발을 묶지 않으면 탱커를 뛰어넘어 타워로 돌진한다.","Very fast movement speed. If not rooted with CC skills, it will jump over the tank and rush to the tower.","非常に速い移動速度。CCスキルで足止めしなければ、タンクを飛び越えてタワーに突進する。"
monsters.crystal_golem.description,"순수한 마법 수정으로 형성된 골렘. 원거리에서 마력빔을 발사하고 방어력도 엄청나다.","A golem formed of pure magic crystals. Fires magic beams from a distance and has immense defense.","純粋な魔法の水晶で形成されたゴーレム。遠距離から魔力ビームを発射し、防御力も凄まじい。"
monsters.crystal_golem.displayName,"수정 골렘",Crystal Golem,水晶ゴーレム
monsters.crystal_golem.tip,"방어력 120의 원거리 골렘. 소환수로 물량 어그로를 분산시키고 다단 히트 딜러로 집중 공략하라.","A ranged golem with 120 defense. Disperse aggro with summons and focus attack with multi-hit damage dealers.","防御力120の遠距離ゴーレム。召喚獣でヘイトを分散させ、多段ヒットアタッカーで集中攻略しろ。"
monsters.dark_archer.description,"어둠의 기운을 화살에 담아 쏘는 언데드. 빠른 이동 속도로 기회를 노린다.","An undead that shoots arrows imbued with dark energy. Looks for an opening with fast movement speed.","闇の気運を矢に込めて放つアンデッド。速い移動速度で機会をうかがう。"
monsters.dark_archer.displayName,"암흑 궁수",Dark Archer,暗黒の射手
monsters.dark_archer.tip,"빠른 원거리 적. 방어력이 낮아 처치는 쉽지만 원딜 영웅에 접근하기 전 CC로 막아야 한다.","Fast ranged enemy. Low defense makes it easy to kill, but must be stopped with CC before it approaches ranged heroes.","速い遠距離 host の敵。防御力が低く倒すのは容易だが、遠距離英雄に接近する前にCCで防がなければならない。"
monsters.dark_mage.description,"어둠의 마력을 능숙하게 다루는 마법사. 저주와 어둠의 화염으로 아군 전체를 위협한다.","A mage skilled in dark magic. Threatens all allies with curses and dark fire.","闇の魔力を巧みに操る魔道士。呪いと闇の炎で味方全体を脅かす。"
monsters.dark_mage.displayName,"암흑 마법사",Dark Mage,暗黒の魔道士
monsters.dark_mage.tip,"원거리 마법 공격으로 방어력을 어느 정도 무시한다. 즉시 처치를 목표로 하라.","Ignores defense to some extent with ranged magic attacks. Aim for immediate elimination.","遠距離魔法攻撃で防御力をある程度無視する。即座の排除を目標にせよ。"
monsters.death_knight.description,"어둠의 힘에 굴복한 성기사. 일격에 아군을 쓰러뜨릴 만큼 강하고, 죽음의 오라를 두르고 있다.","A paladin who succumbed to the power of darkness. Strong enough to take down an ally in one blow, surrounded by an aura of death.","闇の力に屈した聖騎士。一撃で味方を倒すほど強く、死のオーラをまとっている。"
monsters.death_knight.displayName,"죽음의 기사",Death Knight,デスナイト
monsters.death_knight.tip,"강력한 공격과 높은 방어력. 소환 스킬이 있는 영웅이나 CC를 조합해 대응하라.","Powerful attacks and high defense. Counter with heroes that have summon skills or a combination of CC.","強力な攻撃と高い防御力。召喚スキルを持つ英雄やCCを組み合わせて対応せよ。"
monsters.deathly_marksman.description,"죽어서도 활시위를 당기는 정예 저격수. 살아있을 때보다 정확도가 더 높다고 한다.","An elite sniper who pulls the bowstring even in death. Said to be more accurate than when alive.","死してもなお弓を引く精鋭狙撃手。生きている時よりも精度が高いと言われている。"
monsters.deathly_marksman.displayName,"죽음의 사수",Deathly Marksman,死の射手
monsters.deathly_marksman.tip,"높은 공격력의 원거리 정예. 이동 속도가 느려 CC로 묶기 쉽다. 즉시 처치가 최선.","High attack power ranged elite. Slow movement speed makes it easy to lock down with CC. Immediate elimination is best.","高い攻撃力を持つ遠距離の精鋭。移動速度が遅くCCで縛りやすい。即座の排除が最善。"
monsters.diamond_golem.description,"완벽한 다이아몬드 격자 구조로 이루어진 골렘. 방어력 250으로 사실상 무적에 가깝다.","A golem made of a perfect diamond lattice structure. With 250 defense, it is practically invincible.","完璧なダイヤモンド格子構造で構成されたゴーレム。防御力250で事実上無敵に近い。"
monsters.diamond_golem.displayName,"다이아 골렘",Diamond Golem,ダイヤモンドゴーレム
monsters.diamond_golem.tip,"방어력 250! 다단 히트 전문 영웅 없이는 처치 불가능에 가깝다. 다이아 골렘 전용 파티 구성을 고려하라.","Defense 250! Nearly impossible to kill without multi-hit specialized heroes. Consider a dedicated party composition.","防御力250！多段ヒット専門の英雄がいなければ討伐は不可能に近い。専用のパーティ構成を考慮せよ。"
monsters.dire_wolf.description,"고대 마법에 의해 강화된 늑대. 속도 5.5로 전장에서 가장 빠른 지상 유닛 중 하나다.","A wolf enhanced by ancient magic. One of the fastest ground units on the battlefield with a speed of 5.5.","古代魔法によって強化された狼。速度5.5で戦場で最も速い地上ユニットの一つだ。"
monsters.dire_wolf.displayName,"다이어 울프",Dire Wolf,ダイアウルフ
monsters.dire_wolf.tip,"전장에서 가장 빠른 적. CC 없이는 방어선이 무너진다. 빙결/기절 스킬이 필수다.","The fastest enemy on the battlefield. Without CC, the defense line will collapse. Freeze/Stun skills are essential.","戦場で最も速い敵。CCがなければ防衛線が崩壊する。氷結/スタンスキルが必須だ。"
monsters.fire_lord.description,"화염의 군주. 어픽스: AOE 강타 — 주기적으로 아군 전체에 폭발 피해를 가한다.","The Fire Lord. Affix: AoE Strike — Periodically deals explosion damage to all allies.","炎の君主。アフィックス：AOE強打 — 定期的に味方全体に爆発ダメージを与える。"
monsters.fire_lord.displayName,"화염 군주",Fire Lord,炎の君主
monsters.fire_lord.tip,"Wave 15 보스. AOE 강타 판정이 매우 넓다. 힐러가 없으면 불가능에 가까운 전투. CC로 강타를 방해하라.","Wave 15 Boss. AoE strike hitbox is very wide. An almost impossible battle without a healer. Interrupt strikes with CC.","Wave 15 ボス。AOE強打の判定が非常に広い。ヒーラーがいなければ不可能に近い戦闘。CCで強打を妨害せよ。"
monsters.fire_spirit.description,"불꽃에서 태어난 정령. 방어력이 없고 체력도 낮지만 빠른 속도와 화염 공격이 위협적이다.","A spirit born from flames. No defense and low HP, but its fast speed and fire attacks are threatening.","炎から生まれた精霊。防御力がなく体力も低いが、速い速度と火炎攻撃が脅威だ。"
monsters.fire_spirit.displayName,"화염 정령",Fire Spirit,火の精霊
monsters.fire_spirit.tip,"방어력 0이라 처치는 쉽지만 수가 많으면 타워를 빠르게 위협한다. 광역기로 쓸어내라.","Easy to kill with 0 defense, but in large numbers, they quickly threaten the tower. Sweep them with AoE skills.","防御力0なので倒すのは容易だが、数が多いと素早くタワーを脅かす。広域スキルで掃討せよ。"
monsters.flesh_giant.description,"수천 개의 시체를 뭉쳐 만든 거대한 언데드. HP 15000의 역대 최고 체력. 분노 상태에선 멈출 수 없다.","A giant undead made from thousands of corpses. The highest HP ever at 15000. Unstoppable when enraged.","数千の死体を固めて作った巨大なアンデッド。HP15000の歴代最高体力。激怒状態では止められない。"
monsters.flesh_giant.displayName,"거대 살덩이",Flesh Giant,肉の巨人
monsters.flesh_giant.tip,"Wave 40 보스. 체력 15000!! 방어력은 낮지만 체력이 압도적. 힐러 + 처형 스킬이 필수. 지구전 준비를.","Wave 40 Boss. HP 15000!! Low defense but overwhelming HP. Healer + execution skills are essential. Prepare for a battle of attrition.","Wave 40 ボス。体力15000！！防御力は低いが体力が圧倒的。ヒーラー＋処刑スキルが必須。持久戦の準備を。"
monsters.flesh_hulk.description,"여러 시체를 꿰매어 만든 거대한 괴물. HP 800에 방어력은 없어 강한 한 방에 취약하다.","A giant monster made by stitching together various corpses. HP 800 and no defense, making it vulnerable to strong single hits.","複数の死体を縫い合わせて作った巨大な怪物。HP800で防御力はなく、強力な一撃に弱い。"
monsters.flesh_hulk.displayName,"살덩이 헐크",Flesh Hulk,肉のハルク
monsters.flesh_hulk.tip,"체력이 매우 높지만 방어력은 0. 단일 강타 딜러나 처형 스킬로 순식간에 쓰러뜨릴 수 있다.","Very high HP but 0 defense. Can be taken down instantly with a single burst damage dealer or execution skills.","体力が非常に高いが防御力は0。単発アタッカーや処刑スキルで瞬時に倒すことができる。"
monsters.frost_elemental.description,"극한의 냉기를 품은 정령. 공격마다 광역 슬로우를 부여하며 방어도 철저하다.","A spirit harboring extreme cold. Inflicts AoE slow with every attack and has solid defense.","極限の冷気を抱く精霊。攻撃ごとに広域スロウを付与し、防御も徹底している。"
monsters.frost_elemental.displayName,"서리 정령",Frost Elemental,霜の精霊
monsters.frost_elemental.tip,"체력 450, 방어력 35의 고급 정령. 광역 슬로우로 아군 전체가 느려진다. CC 영웅으로 역슬로우하라.","Advanced spirit with 450 HP and 35 defense. AoE slow slows down all allies. Counter-slow with CC heroes.","体力450、防御力35の高級精霊。広域スロウで味方全体が遅くなる。CC英雄で逆スロウをかけろ。"
monsters.frost_king.description,"영원한 겨울을 지배하는 냉기의 왕. 어픽스: 분노 — 방어력 80으로 물리 공격을 거의 흡수한다.","The king of frost ruling eternal winter. Affix: Rage — Absorbs almost all physical attacks with 80 defense.","永遠の冬を支配する冷気の王。アフィックス：激怒 — 防御力80で物理攻撃をほとんど吸収する。"
monsters.frost_king.displayName,"냉기 왕",Frost King,氷の王
monsters.frost_king.tip,"Wave 20 보스. 방어력 80! 마법 딜러나 다단 히트 영웅이 없으면 처치 불가. 분노 전 집중 공략.","Wave 20 Boss. Defense 80! Impossible to kill without magic damage dealers or multi-hit heroes. Focus attack before rage.","Wave 20 ボス。防御力80！魔法アタッカーや多段ヒット英雄がいなければ討伐不可。激怒前に集中攻略。"
