Key,KO,EN,JA
heroes.ar_gorg.skills.intervene.desc,"아군 대신 피해를 받음",Takes damage on behalf of an ally.,味方の代わりにダメージを受ける。
heroes.ar_gorg.skills.intervene.name,"가로막기",Intervene,身代わり
heroes.ar_gorg.skills.last_stand.desc,"최대 HP 50% 증가 15초",Increases Max HP by 50% for 15s.,15秒間、最大HPが50%増加。
heroes.ar_gorg.skills.last_stand.name,"최후의 저항",Last Stand,最後の抵抗
heroes.ar_gorg.skills.lava_burst.desc,"단일 대상 ATK×8 화염 피해",Deals ATK×8 fire damage to a single target.,単体に攻撃力×8の火炎ダメージ。
heroes.ar_gorg.skills.lava_burst.name,"용암 폭발",Lava Burst,溶岩噴火
heroes.ar_gorg.skills.mortal_strike.desc,"강력한 내려치기 ATK×10 피해 + 흡혈 20%",A powerful strike dealing ATK×10 damage + 20% Life Steal.,攻撃力×10の強力な叩きつけダメージ + 20%吸血
heroes.ar_gorg.skills.mortal_strike.name,"거인의 타격",Colossus Smash,巨人の打撃
heroes.ar_gorg.skills.shield_slam.desc,"적 넉백 + 2초 기절",Knocks back the enemy and stuns for 2s.,敵をノックバックさせ、2秒間スタンさせる。
heroes.ar_gorg.skills.shield_slam.name,"방패 밀쳐내기",Shield Slam,シールドスラム
heroes.ar_gorg.skills.shield_wall.desc,"10초간 무적에 가까운 방어력 증가",Increases Defense to near-invincibility for 10s.,10秒間、無敵に近い防御力上昇。
heroes.ar_gorg.skills.shield_wall.name,"방패 벽",Shield Wall,盾の壁
heroes.ar_gorg.skills.spirit_walk.desc,"위험한 아군에게 순간이동하여 보호막 부여",Teleports to an ally in danger and grants a shield.,危機の味方にテレポートし、シールドを付与する。
heroes.ar_gorg.skills.spirit_walk.name,"정령의 이동",Spirit Walk,精霊の歩み
heroes.ar_gorg.skills.war_stomp.desc,"주변 150px 기절 2.5초 + ATK×4 피해",Stuns nearby enemies within 150px for 2.5s and deals ATK×4 damage.,周囲150pxを2.5秒間スタンさせ、攻撃力×4のダメージを与える。
heroes.ar_gorg.skills.war_stomp.name,"전투 발구르기",War Stomp,ウォー・ストンプ
heroes.ar_jarlten.lore,"고대의 영웅이 죽음 이후 언데드 군주로 부활했다. 아군 언데드 전군을 지휘하는 존재로서, 그의 존재만으로 언데드 군단이 각성한다.","An ancient hero resurrected as an undead overlord after death. As the commander of all undead allies, his mere presence awakens the undead legion.",死後、アンデッドの君主として復活した古代の英雄。味方のアンデッド全軍を指揮する存在であり、彼の存在だけでアンデッド軍団が覚醒する。
heroes.ar_jarlten.name,"자렌텐",Jarlten,"ジャルテン"
heroes.ar_jarlten.routes.fearlord.name,"공포군주",Dreadlord,恐怖の君主
heroes.ar_jarlten.routes.fearlord.variantDesc,"공격 시 {value}% 확률로 2초 공포(이동불가).",When attacking, {value}% chance to cause Fear (immobility) for 2s.,攻撃時、{value}%の確率で2秒間の恐怖（移動不可）を与える。
heroes.ar_jarlten.routes.fearlord.variantName,"공포의 군주",Lord of Terror,恐怖の君主
heroes.ar_jarlten.routes.necromancy.name,"강령술",Necromancy,死霊術
heroes.ar_jarlten.routes.necromancy.variantDesc,"공격 시 {value}% 확률로 대상의 영혼을 흡수하여 공격력 강화.",When attacking, {value}% chance to absorb the target's soul and strengthen attack power.,攻撃時、{value}%の確率で対象の魂を吸収し、攻撃力を強化する。
heroes.ar_jarlten.routes.necromancy.variantName,"영혼 포식",Soul Devour,魂喰らい
heroes.ar_jarlten.routes.overlord.name,"군주",Overlord,覇王
heroes.ar_jarlten.routes.overlord.variantDesc,"피격 시 {value}% 확률로 피해 완전 무효화.",When hit, {value}% chance to completely nullify damage.,被弾時、{value}%の確率でダメージを完全に無効化する。
heroes.ar_jarlten.routes.overlord.variantName,"죽음의 의지",Will of Death,死の意志
heroes.ar_jarlten.skills.am_shell.desc,"5초간 모든 마법 피해 무효화",Nullifies all magic damage for 5s.,5秒間、すべての魔法ダメージを無効化。
heroes.ar_jarlten.skills.am_shell.name,"대마법 보호막",Anti-Magic Shell,対魔法シールド
heroes.ar_jarlten.skills.army_of_dead.desc,"군단 언데드 소환 (강화형)",Summons an enhanced undead army.,アンデッド軍団を召喚（強化型）。
heroes.ar_jarlten.skills.army_of_dead.name,"사자의 군단",Army of the Dead,死者の軍団
heroes.ar_jarlten.skills.banshee_wail.desc,"주변 180px 적 3초 기절",Stuns nearby enemies within 180px for 3s.,周囲180pxの敵を3秒間スタンさせる。
heroes.ar_jarlten.skills.banshee_wail.name,"밴시의 울부짖음",Banshee's Wail,バンシーの咆哮
heroes.ar_jarlten.skills.corpse_nova.desc,"타겟 주위 120px ATK×5 폭발 피해",Deals ATK×5 explosion damage within 120px around the target.,ターゲット周囲120pxに攻撃力×5の爆発ダメージ。
heroes.ar_jarlten.skills.corpse_nova.name,"시체 폭발",Corpse Explosion,死体爆発
heroes.ar_jarlten.skills.corruption.desc,"10초간 적에게 지속 암흑 피해",Deals continuous shadow damage for 10s.,10秒間、敵に持続的な暗黒ダメージ。
heroes.ar_jarlten.skills.corruption.name,"부패",Corruption,腐敗
heroes.ar_jarlten.skills.death_and_decay.desc,"지정 위치에 장판을 깔아 광역 지속 피해",Creates an area at the target location that deals continuous AoE damage.,指定した位置に陣を敷き、広範囲の持続ダメージを与える。
heroes.ar_jarlten.skills.death_and_decay.name,"죽음과 부패",Death and Decay,死と腐敗
heroes.ar_jarlten.skills.death_coil.desc,"단일 ATK×6 암흑 + 50% 흡혈",Deals ATK×6 shadow damage + 50% Life Steal to a single target.,単体に攻撃力×6の暗黒ダメージ + 50%吸血。
heroes.ar_jarlten.skills.death_coil.name,"죽음의 고리",Death Coil,死のコイル
heroes.ar_jarlten.skills.deathmark.desc,"모든 적 받는 피해 20% 증가 10초",Increases damage taken by all enemies by 20% for 10s.,10秒間、すべての敵の被ダメージが20%増加。
heroes.ar_jarlten.skills.deathmark.name,"죽음의 낙인",Death Mark,死の刻印
heroes.ar_jarlten.skills.raise_dead.desc,"쓰러진 아군 1명을 HP 50%로 즉시 부활",Immediately resurrects one fallen ally with 50% HP.,倒れた味方1人をHP50%で即座に復活させる。
heroes.ar_jarlten.skills.raise_dead.name,"죽은 자 소생",Raise Dead,死者蘇生
heroes.ar_jarlten.skills.raise_skeleton.desc,"해골 전사 2명 소환",Summons 2 Skeleton Warriors.,スケルトン戦士を2体召喚。
heroes.ar_jarlten.skills.raise_skeleton.name,"해골 소환",Raise Skeleton,スケルトン召喚
heroes.ar_jarlten.skills.shadow_bolt.desc,"단일 ATK×4 암흑 피해",Deals ATK×4 shadow damage to a single target.,単体に攻撃力×4の暗黒ダメージ。
heroes.ar_jarlten.skills.shadow_bolt.name,"어둠의 화살",Shadow Bolt,シャドウボルト
heroes.ar_jarlten.skills.sleep.desc,"적 1명을 8초간 잠재움",Puts one enemy to sleep for 8s.,敵1体を8秒間眠らせる。
heroes.ar_jarlten.skills.sleep.name,"수면",Sleep,スリープ
heroes.ar_jarlten.skills.soulfire.desc,"적의 영혼을 불태워 강력한 암흑 피해",Burns the enemy's soul to deal powerful shadow damage.,敵の魂を焼き尽くし、強力な暗黒ダメージを与える。
heroes.ar_jarlten.skills.soulfire.name,"영혼 불꽃",Soulfire,ソウルファイア
heroes.ar_jarlten.skills.spectral_summon.desc,"망령 소환 (20초, ATK×0.8, CC)",Summons a specter (20s, ATK×0.8, CC).,亡霊を召喚（20秒、攻撃力×0.8、CC）。
heroes.ar_jarlten.skills.spectral_summon.name,"망령 소환",Spectral Summon,亡霊召喚
heroes.ar_jarlten.skills.undead_aura.desc,"패시브: 자신 ATK +25%, HP +20% 영구 증가",Passive: Permanently increases ATK by 25% and HP by 20%.,パッシブ：自身の攻撃力+25%、HP+20%を永続的に増加。
heroes.ar_jarlten.skills.undead_aura.name,"군주의 오라",Overlord's Aura,君主のオーラ
heroes.ar_jarlten.summons.army.name,"군단 언데드",Undead Legion,アンデッド軍団
heroes.ar_jarlten.summons.skeleton.name,"해골 전사",Skeleton Warrior,スケルトン戦士
heroes.ar_jarlten.summons.spectral.name,"공포의 망령",Dread Specter,恐怖の亡霊
heroes.ar_kargath.lore,"부러진 손 부족의 전설적인 지도자. 스스로 손을 자르고 칼날을 달아 전장을 피로 물들인다.","Legendary leader of the Shattered Hand clan. He cut off his own hand and attached a blade to stain the battlefield with blood.","砕かれた手部族の伝説的な指導者。自らの手を切り落とし、刃を取り付けて戦場を血で染める。"
heroes.ar_kargath.name,"카르가스",Kargath,カルガス
heroes.ar_kargath.routes.berserk.name,"광전사",Berserker,狂戦士
heroes.ar_kargath.routes.berserk.variantDesc,"공격 시 {value}% 확률로 주변 적들에게 전이 피해를 입힙니다.",When attacking, {value}% chance to deal splash damage to nearby enemies.,攻撃時、{value}%の確率で周囲の敵に転移ダメージを与える。
heroes.ar_kargath.routes.berserk.variantName,"가차없는 힘",Relentless Force,容赦なき力
heroes.ar_kargath.routes.blade.name,"칼날손",Bladehand,刃の手
heroes.ar_kargath.routes.blade.variantDesc,"공격 시 {value}% 확률로 적에게 치명적인 상처(방어 0)를 입힙니다.",When attacking, {value}% chance to inflict a mortal wound (0 DEF) on the enemy.,攻撃時、{value}%の確率で敵に致命傷（防御0）を負わせる。
heroes.ar_kargath.routes.blade.variantName,"부러진 손의 칼날",Blade of the Shattered Hand,砕かれた手の刃
heroes.ar_kargath.skills.avatar.desc,"20초간 거대화: 공격력 3배, 무적",Giant Form for 20s: 3x Attack Power, Invincible.,20秒間巨大化：攻撃力3倍、無敵。
heroes.ar_kargath.skills.avatar.name,"투신",Avatar,闘神
heroes.ar_kargath.skills.blade_sweep.desc,"전방 부채꼴 모든 적 ATK×5 피해",Deals ATK x 5 damage to all enemies in a frontal cone.,前方扇形範囲のすべての敵に攻撃力 x 5のダメージ。
heroes.ar_kargath.skills.blade_sweep.name,"칼날 휩쓸기",Blade Sweep,刃の薙ぎ払い
heroes.ar_kargath.skills.bloodthirst.desc,"적 처치 시 공격력 10% 증가 (무제한 중첩)",Attack Power Increase 10% on kill (infinite stacks).,敵を倒すたびに攻撃力 10%増加（無限累積）。
heroes.ar_kargath.skills.bloodthirst.name,"피의 굶주림",Bloodthirst,血の渇望
heroes.ar_kargath.skills.furious_attack.desc,"10초간 공격속도 200% 증가",Attack Speed Increase 200% for 10s.,10秒間、攻撃速度 200%増加。
heroes.ar_kargath.skills.furious_attack.name,"맹렬한 공격",Furious Attack,猛烈な攻撃
heroes.ar_kargath.skills.impale.desc,"단일 ATK×8 피해 및 3초 기절",Deals ATK x 8 damage and stuns for 3s.,単体に攻撃力 x 8のダメージと3秒間のスタン。
heroes.ar_kargath.skills.impale.name,"꿰뚫기",Impale,串刺し
heroes.ar_kargath.skills.massacre.desc,"전장 전체 적 ATK×15 피해 및 HP 30% 이하 적 즉사",Deals ATK x 15 damage to all enemies and Instant Kill for enemies below 30% HP.,戦場全体の敵に攻撃力 x 15のダメージ、HP30%以下の敵を即死。
heroes.ar_kargath.skills.massacre.name,"대학살",Massacre,大虐殺
heroes.ar_kargath.skills.mortal_strike.desc,"대상 적 방어력 영구 50% 감소 및 ATK×12 피해",Permanently reduces enemy Defense by 50% and deals ATK x 12 damage.,対象の敵の防御力を永久に50%減少させ、攻撃力 x 12のダメージを与える。
heroes.ar_kargath.skills.mortal_strike.name,"거인의 타격",Mortal Strike,巨人の打撃
heroes.ar_kargath.skills.recklessness.desc,"받는 피해 20% 증가, 주는 피해 100% 증가",Damage taken Increase 20% Increase, Damage dealt Increase 100% Increase.,被ダメージ 20%増加、与えるダメージ 100%増加。
heroes.ar_kargath.skills.recklessness.name,"무모한 희생",Recklessness,無謀な犠牲
heroes.ar_kargath.skills.slam.desc,"단일 ATK×10 강력한 한방",A powerful single strike dealing ATK x 10 damage.,単体に攻撃力 x 10の強力な一撃。
heroes.ar_kargath.skills.slam.name,"격돌",Slam,叩きつけ
heroes.ar_kargath.skills.whirlwind.desc,"주변 모든 적에게 매초 ATK×3 피해 (5초 지속)",Deals ATK x 3 damage every second to all nearby enemies (5s).,周囲のすべての敵に毎秒攻撃力 x 3のダメージ（5秒間持続）。
heroes.ar_kargath.skills.whirlwind.name,"소용돌이",Whirlwind,斬撃旋風
heroes.ar_lian.lore,"태양샘의 힘을 혈기로 전환한 최초의 혈기사. 아군을 위해 자신의 피를 불태우며 전선을 사수한다.","The first blood knight who converted the power of the Sunwell into vitality. Burns her own blood to hold the front line for her allies.","太陽の泉の力を血の気に変換した最初のブラッドナイト。味方のために自らの血を燃やし、前線を死守する。"
heroes.ar_lian.name,"리안",Lian,リアン
heroes.ar_lian.routes.blood.name,"혈기",Blood,血気
heroes.ar_lian.routes.blood.variantDesc,"피격 시 {value}% 확률로 잃은 체력의 10%를 즉시 회복합니다.",When hit, {value}% chance to immediately restore 10% of lost health.,被弾時、{value}%の確率で失った体力の10%を即座に回復する。
heroes.ar_lian.routes.blood.variantName,"붉은 갈증",Red Thirst,赤い渇き
heroes.ar_lian.routes.retri.name,"징벌",Retribution,懲罰
heroes.ar_lian.routes.retri.variantDesc,"공격 시 {value}% 확률로 대상에게 ATK×4 신성 추가 피해.",When attacking, {value}% chance to deal ATK x 4 bonus Holy damage.,攻撃時、{value}%の確率で対象に攻撃力 x 4の神聖追加ダメージ。
heroes.ar_lian.routes.retri.variantName,"성스러운 복수",Holy Vengeance,聖なる復讐
heroes.ar_lian.skills.avenging_wrath.desc,"20초간 무적 + 모든 공격이 광역 신성 폭발로 변경",Invincible for 20s + all attacks become AoE Holy explosions.,20秒間無敵 + すべての攻撃が広域神聖爆発に変更。
heroes.ar_lian.skills.avenging_wrath.name,"응징의 격노",Avenging Wrath,御身の怒り
heroes.ar_lian.skills.blade_justice.desc,"적 3명에게 신성 칼날 ATK×5",Deals ATK x 5 Holy damage to 3 enemies.,敵3体に攻撃力 x 5の神聖なる刃。
heroes.ar_lian.skills.blade_justice.name,"심판의 칼날",Blade of Justice,審判の刃
heroes.ar_lian.skills.blood_boil.desc,"주변 모든 적 ATK×4 피해 및 5초간 출혈",Deals ATK x 4 damage to all nearby enemies and causes Bleed for 5s.,周囲のすべての敵に攻撃力 x 4のダメージと5秒間の出血。
heroes.ar_lian.skills.blood_boil.name,"피의 소용돌이",Blood Boil,ブラッドボイル
heroes.ar_lian.skills.blood_strike.desc,"단일 ATK×5 피해 및 20% 흡혈",Deals ATK x 5 damage and 20% Life Steal to a single target.,単体に攻撃力 x 5のダメージと20%吸血。
heroes.ar_lian.skills.blood_strike.name,"피의 일격",Blood Strike,ブラッドストライク
heroes.ar_lian.skills.crusader_strike.desc,"단일 ATK×6 신성 피해",Deals ATK x 6 Holy damage to a single target.,単体に攻撃力 x 6の神聖ダメージ。
heroes.ar_lian.skills.crusader_strike.name,"성전사의 일격",Crusader Strike,聖戦士の力
heroes.ar_lian.skills.dancing_weapon.desc,"룬 무기 소환: 아군 전체 방어력 50% 증가 및 무적 5초",Summons a Rune Weapon: All allies gain 50% Defense Increase and Invincible for 5s.,ルーン武器を召喚：味方全体の防御力 50%増加させ、5秒間無敵にする。
heroes.ar_lian.skills.dancing_weapon.name,"춤추는 룬 무기",Dancing Rune Weapon,踊るルーン武器
heroes.ar_lian.skills.death_bond.desc,"아군 1명과 결속하여 피해를 50% 나누어 받음",Binds with an ally to share 50% of incoming damage.,味方1人と結束し、ダメージを50%分担する。
heroes.ar_lian.skills.death_bond.name,"죽음의 결속",Death Bond,死の結束
heroes.ar_lian.skills.divine_storm.desc,"주변 광역 ATK×5 피해 및 아군 힐",Deals ATK x 5 AoE damage and heals allies.,周囲に攻撃力 x 5の広域ダメージを与え、味方を回復。
heroes.ar_lian.skills.divine_storm.name,"신성한 폭풍",Divine Storm,ディヴァインストーム
heroes.ar_lian.skills.fanaticism.desc,"15초간 공격력 50% 증가 및 모든 공격 속도 2배",Attack Power Increase 50% and doubles Attack Speed for 15s.,15秒間、攻撃力 50%増加し、すべての攻撃速度 2倍になる。
heroes.ar_lian.skills.fanaticism.name,"광신",Fanaticism,狂信
heroes.ar_lian.skills.rune_tap.desc,"최대 HP 20% 보호막 생성 및 DEF +40",Generates a 20% Max HP Shield and adds +40 Defense.,最大HP 20%のシールドを生成し、防御力 +40増加させる。
heroes.ar_lian.skills.rune_tap.name,"룬 전환",Rune Tap,ルーン転換
heroes.ar_maharuuk.lore,"대지모신의 직계 후계자. 타우렌 부족의 대지 마법으로 방어선을 강화하고 아군을 치유한다.","Direct successor to the Earthmother. Strengthens the defense line and heals allies with the earth magic of the Tauren tribe.","大地母神の直系後継者。タウレン部族の大地魔法で防衛線を強化し、味方を癒やす。"
heroes.ar_maharuuk.name,"마하루크",Maharuuk,マハルーク
heroes.ar_maharuuk.routes.earthguard.name,"대지수호자",Earthguardian,大地守護者
heroes.ar_maharuuk.routes.earthguard.variantDesc,"피격 시 {value}% 확률로 주변 아군 방어력 +20 (5초).",When hit, {value}% chance to give nearby allies +20 Defense (5s).,被弾時、{value}%の確率で周囲の味方防御力 +20（5秒間）。
heroes.ar_maharuuk.routes.earthguard.variantName,"대지의 방패",Earth Shield,大地の盾
heroes.ar_maharuuk.routes.stormcaller.name,"폭풍주술사",Stormcaller,嵐の呪術師
heroes.ar_maharuuk.routes.stormcaller.variantDesc,"치유 시 {value}% 만큼 추가 보호막 부여.",When healing, grants an additional Shield equal to {value}% of the amount.,回復時、{value}%分の追加シールドを付与。
heroes.ar_maharuuk.routes.stormcaller.variantName,"정령의 가르침",Spirit Teachings,精霊の教え
heroes.ar_maharuuk.routes.sunwalker.name,"태양길잡이",Sunwalker,サンウォーカー
heroes.ar_maharuuk.routes.sunwalker.variantDesc,"공격 시 {value}% 확률로 대상 주위에 화염 피해.",When attacking, {value}% chance to deal Fire damage around the target.,攻撃時、{value}%の確率で対象の周囲に火炎ダメージ。
heroes.ar_maharuuk.routes.sunwalker.variantName,"태양의 광휘",Sun's Radiance,太陽の輝き
heroes.ar_maharuuk.skills.ancestral_spirit.desc,"쓰러진 아군 1명 HP 50% 부활",Resurrects one fallen ally with 50% HP.,倒れた味方1人をHP50%で復活させる。
heroes.ar_maharuuk.skills.ancestral_spirit.name,"조상의 정령",Ancestral Spirit,祖先の精霊
heroes.ar_maharuuk.skills.avatar_earth.desc,"15초간 피해감소 40% + 주변 피해 반사",40% Damage reduction and Reflects damage for 15s.,15秒間、被ダメージ 40%減少 + 周囲にダメージ反射。
heroes.ar_maharuuk.skills.avatar_earth.name,"대지화신",Earth Avatar,大地化身
heroes.ar_maharuuk.skills.avenging_wrath.desc,"20초간 공격력 50% 증가 및 모든 공격 광역화",Attack Power Increase 50% and makes all attacks AoE for 20s.,20秒間、攻撃力 50%増加し、すべての攻撃が広域化。
heroes.ar_maharuuk.skills.avenging_wrath.name,"응징의 격노",Avenging Wrath,御身の怒り
heroes.ar_maharuuk.skills.bloodlust.desc,"15초간 전체 아군 공격속도 +60%",Attack Speed Increase 60% for all allies for 15s.,15秒間、味方全体の攻撃速度 +60%。
heroes.ar_maharuuk.skills.bloodlust.name,"영웅심",Heroism,英雄の心
heroes.ar_maharuuk.skills.chain_heal.desc,"HP 최저 아군 ATK×5 치유 + 연쇄 ATK×2",Heals the lowest HP ally for ATK x 5 and Chain heals for ATK x 2.,HPが最も低い味方を攻撃力 x 5回復 + 連鎖回復 攻撃力 x 2。
heroes.ar_maharuuk.skills.chain_heal.name,"연쇄 치유",Chain Heal,連鎖癒し
heroes.ar_maharuuk.skills.crusader_strike.desc,"단일 ATK×4 신성 피해",Deals ATK x 4 Holy damage to a single target.,単体に攻撃力 x 4の神聖ダメージ。
heroes.ar_maharuuk.skills.crusader_strike.name,"성전사의 일격",Crusader Strike,聖戦士の力
heroes.ar_maharuuk.skills.earth_stomp.desc,"전방 130px 기절 2초 + ATK×4",Stuns frontal 130px for 2s + deals ATK x 4 damage.,前方130pxを2秒間スタン + 攻撃力 x 4のダメージ。
heroes.ar_maharuuk.skills.earth_stomp.name,"대지 발구르기",Earth Stomp,大地踏み
heroes.ar_maharuuk.skills.healing_rain.desc,"전체 아군 ATK×3 광역 치유",Heals all allies for ATK x 3 AoE.,味方全体を攻撃力 x 3の広域回復。
heroes.ar_maharuuk.skills.healing_rain.name,"치유의 비",Healing Rain,癒しの雨
heroes.ar_maharuuk.skills.holy_light.desc,"자신 주위 아군 ATK×3 치유",Heals nearby allies for ATK x 3.,自身の周囲の味方を攻撃力 x 3回復。
heroes.ar_maharuuk.skills.holy_light.name,"신성한 빛",Holy Light,聖なる光
heroes.ar_maharuuk.skills.judgment.desc,"대상에게 ATK×5 피해 및 받는 피해 증가",Deals ATK x 5 damage and Increases damage taken for the target.,対象に攻撃力 x 5のダメージを与え、被ダメージを増加させる。
heroes.ar_maharuuk.skills.judgment.name,"심판",Judgment,審判
heroes.ar_maharuuk.skills.living_seed.desc,"패시브: 피격 시 자신 HP 8% 즉시 회복",Passive: Immediately restores 8% of own HP when hit.,パッシブ：被弾時、自身のHPを8%即座に回復。
heroes.ar_maharuuk.skills.living_seed.name,"살아있는 씨앗",Living Seed,生ける種
heroes.ar_maharuuk.skills.riptide.desc,"대상에게 즉시 힐 + 지속 힐 부여",Grants immediate heal + Continuous healing to the target.,対象に即時回復 + 持続回復を付与。
heroes.ar_maharuuk.skills.riptide.name,"성난 해일",Riptide,怒濤
heroes.ar_maharuuk.skills.stone_bulwark.desc,"전체 아군 방어력 +30, HP 10% 회복",Adds +30 Defense to all allies and restores 10% HP.,味方全体の防御力 +30、HP10%回復。
heroes.ar_maharuuk.skills.stone_bulwark.name,"돌의 보루",Stone Bulwark,石の砦
heroes.ar_maharuuk.skills.thorns.desc,"아군 전체에게 피해 반사 20% 부여",Grants 20% damage reflection to all allies.,"味方全体にダメージ反射 20%を付与。"
heroes.ar_maharuuk.skills.thorns.name,"가시나무",Thorns,茨の冠
heroes.ar_maharuuk.skills.wrath.desc,"전방 모든 적에게 강력한 빛의 일격",A powerful strike of light to all enemies in front.,前方すべての敵に強力な光の一撃。
heroes.ar_maharuuk.skills.wrath.name,"천벌",Wrath,天罰
heroes.ar_valanos.lore,"태양샘이 타락하기 전의 힘을 기억하는 마지막 피의 마법사. 마력 흡수로 아군을 강화하고 적을 소멸시킨다.","The last blood mage who remembers the power of the Sunwell before its corruption. Strengthens allies by absorbing mana and annihilates enemies.","太陽の泉が堕落する前の力を覚えている最後のブラッドメイジ。魔力吸収で味方を強化し、敵を消滅させる。"
heroes.ar_valanos.name,"발라노스",Valanos,バラノス
heroes.ar_valanos.routes.bloodmage.name,"피의 마법사",Blood Mage,血の魔導師
heroes.ar_valanos.routes.bloodmage.variantDesc,"공격 시 {value}% 확률로 ATK×3 비전 추가 피해.",When attacking, {value}% chance to deal ATK x 3 bonus Arcane damage.,攻撃時、{value}%の確率で攻撃力 x 3の秘術追加ダメージ。
heroes.ar_valanos.routes.bloodmage.variantName,"마력 공명",Mana Resonance,魔力共鳴
heroes.ar_valanos.routes.destro.name,"파괴",Destruction,破壊
